,elevation,flight,iteration,band,accuracy
245,250.0,pre-sunrise,2.0,RGB_IP,0.338
246,300.0,pre-sunrise,2.0,RGB_IP,0.0
247,350.0,pre-sunrise,2.0,RGB_IP,0.095
248,400.0,pre-sunrise,2.0,RGB_IP,0.043
249,50.0,post-sunrise,2.0,RGB_IP,0.505
250,100.0,post-sunrise,2.0,RGB_IP,0.999
251,150.0,post-sunrise,2.0,RGB_IP,0.672
252,200.0,post-sunrise,2.0,RGB_IP,0.959
253,250.0,post-sunrise,2.0,RGB_IP,0.672
254,300.0,post-sunrise,2.0,RGB_IP,0.894
255,350.0,post-sunrise,2.0,RGB_IP,0.405
256,400.0,post-sunrise,2.0,RGB_IP,0.672
257,50.0,noon,2.0,RGB_IP,0.905
258,100.0,noon,2.0,RGB_IP,1.0
259,150.0,noon,2.0,RGB_IP,1.0
260,200.0,noon,2.0,RGB_IP,0.904
261,250.0,noon,2.0,RGB_IP,0.748
262,300.0,noon,2.0,RGB_IP,0.77
263,350.0,noon,2.0,RGB_IP,0.776
264,400.0,noon,2.0,RGB_IP,0.495
265,50.0,pre-sunset,2.0,RGB_IP,0.531
266,100.0,pre-sunset,2.0,RGB_IP,0.946
267,150.0,pre-sunset,2.0,RGB_IP,0.938
268,200.0,pre-sunset,2.0,RGB_IP,0.736
269,250.0,pre-sunset,2.0,RGB_IP,0.732
270,300.0,pre-sunset,2.0,RGB_IP,0.705
271,350.0,pre-sunset,2.0,RGB_IP,0.568
272,400.0,pre-sunset,2.0,RGB_IP,0.474
273,50.0,post-sunset,2.0,RGB_IP,0.205
274,100.0,post-sunset,2.0,RGB_IP,0.862
275,150.0,post-sunset,2.0,RGB_IP,0.999
276,200.0,post-sunset,2.0,RGB_IP,0.253
277,250.0,post-sunset,2.0,RGB_IP,0.255
278,300.0,post-sunset,2.0,RGB_IP,0.081
279,350.0,post-sunset,2.0,RGB_IP,0.23
280,400.0,post-sunset,2.0,RGB_IP,0.236
281,50.0,pre-sunrise,3.0,RGB_IP,0.0
282,100.0,pre-sunrise,3.0,RGB_IP,0.755
283,150.0,pre-sunrise,3.0,RGB_IP,0.505
284,200.0,pre-sunrise,3.0,RGB_IP,0.576
285,250.0,pre-sunrise,3.0,RGB_IP,0.0
286,300.0,pre-sunrise,3.0,RGB_IP,0.148
287,350.0,pre-sunrise,3.0,RGB_IP,0.116
288,400.0,pre-sunrise,3.0,RGB_IP,0.088
289,50.0,post-sunrise,3.0,RGB_IP,1.0
290,100.0,post-sunrise,3.0,RGB_IP,0.838
291,150.0,post-sunrise,3.0,RGB_IP,1.0
292,200.0,post-sunrise,3.0,RGB_IP,0.823
293,250.0,post-sunrise,3.0,RGB_IP,0.672
294,300.0,post-sunrise,3.0,RGB_IP,1.0
295,350.0,post-sunrise,3.0,RGB_IP,0.695
296,400.0,post-sunrise,3.0,RGB_IP,0.666
297,50.0,noon,3.0,RGB_IP,0.641
298,100.0,noon,3.0,RGB_IP,0.914
299,150.0,noon,3.0,RGB_IP,0.91
300,200.0,noon,3.0,RGB_IP,0.88
301,250.0,noon,3.0,RGB_IP,0.807
302,300.0,noon,3.0,RGB_IP,0.753
303,350.0,noon,3.0,RGB_IP,0.597
304,400.0,noon,3.0,RGB_IP,0.347
305,50.0,pre-sunset,3.0,RGB_IP,0.593
306,100.0,pre-sunset,3.0,RGB_IP,0.744
307,150.0,pre-sunset,3.0,RGB_IP,0.898
308,200.0,pre-sunset,3.0,RGB_IP,0.755
309,250.0,pre-sunset,3.0,RGB_IP,0.838
310,300.0,pre-sunset,3.0,RGB_IP,0.696
311,350.0,pre-sunset,3.0,RGB_IP,0.61
