,elevation,flight,iteration,band,accuracy,image_processing
378,150,noon,5,RGB,0.88,Yes
379,200,noon,5,RGB,0.819,Yes
380,250,noon,5,RGB,0.758,Yes
381,300,noon,5,RGB,0.867,Yes
382,350,noon,5,RGB,0.395,Yes
383,400,noon,5,RGB,0.443,Yes
384,50,pre-sunset,5,RGB,0.805,Yes
385,100,pre-sunset,5,RGB,0.949,Yes
386,150,pre-sunset,5,RGB,0.96,Yes
387,200,pre-sunset,5,RGB,0.783,Yes
388,250,pre-sunset,5,RGB,0.772,Yes
389,300,pre-sunset,5,RGB,0.77,Yes
390,350,pre-sunset,5,RGB,0.671,Yes
391,400,pre-sunset,5,RGB,0.516,Yes
392,50,post-sunset,5,RGB,0.552,Yes
393,100,post-sunset,5,RGB,0.719,Yes
394,150,post-sunset,5,RGB,0.443,Yes
395,200,post-sunset,5,RGB,0.329,Yes
396,250,post-sunset,5,RGB,0.426,Yes
397,300,post-sunset,5,RGB,0.534,Yes
398,350,post-sunset,5,RGB,0.17,Yes
399,400,post-sunset,5,RGB,0.0,Yes
400,50,pre-sunrise,1,LWIR,1.0,Yes
401,100,pre-sunrise,1,LWIR,1.0,Yes
402,150,pre-sunrise,1,LWIR,1.0,Yes
403,200,pre-sunrise,1,LWIR,0.576,Yes
404,250,pre-sunrise,1,LWIR,0.0,Yes
405,300,pre-sunrise,1,LWIR,0.0,Yes
406,350,pre-sunrise,1,LWIR,0.0,Yes
407,400,pre-sunrise,1,LWIR,0.0,Yes
408,50,post-sunrise,1,LWIR,1.0,Yes
409,100,post-sunrise,1,LWIR,0.755,Yes
410,150,post-sunrise,1,LWIR,0.338,Yes
411,200,post-sunrise,1,LWIR,0.0,Yes
412,250,post-sunrise,1,LWIR,0.092,Yes
413,300,post-sunrise,1,LWIR,0.109,Yes
414,350,post-sunrise,1,LWIR,0.0,Yes
415,400,post-sunrise,1,LWIR,0.0,Yes
416,50,noon,1,LWIR,0.46,Yes
417,100,noon,1,LWIR,0.805,Yes
418,150,noon,1,LWIR,0.505,Yes
419,200,noon,1,LWIR,0.994,Yes
420,250,noon,1,LWIR,0.255,Yes
421,300,noon,1,LWIR,0.11,Yes
422,350,noon,1,LWIR,0.231,Yes
423,400,noon,1,LWIR,0.066,Yes
424,50,pre-sunset,1,LWIR,1.0,Yes
425,100,pre-sunset,1,LWIR,0.88,Yes
426,150,pre-sunset,1,LWIR,0.697,Yes
427,200,pre-sunset,1,LWIR,0.576,Yes
428,250,pre-sunset,1,LWIR,0.274,Yes
429,300,pre-sunset,1,LWIR,0.291,Yes
430,350,pre-sunset,1,LWIR,0.137,Yes
431,400,pre-sunset,1,LWIR,0.099,Yes
432,50,post-sunset,1,LWIR,1.0,Yes
433,100,post-sunset,1,LWIR,1.0,Yes
434,150,post-sunset,1,LWIR,1.0,Yes
435,200,post-sunset,1,LWIR,0.614,Yes
436,250,post-sunset,1,LWIR,0.501,Yes
437,300,post-sunset,1,LWIR,0.201,Yes
438,350,post-sunset,1,LWIR,0.242,Yes
439,400,post-sunset,1,LWIR,0.13,Yes
440,50,pre-sunrise,2,LWIR,0.505,Yes
441,100,pre-sunrise,2,LWIR,0.605,Yes
442,150,pre-sunrise,2,LWIR,1.0,Yes
443,200,pre-sunrise,2,LWIR,0.0,Yes
